participant_id,institution,age_range
P01,Universidad Central del Ecuador,25-29
P02,Universidad Central del Ecuador,30-39
P03,Universidad Central del Ecuador,30-39
P04,Universidad Central del Ecuador,30-39
P05,Universidad Central del Ecuador,30-39
P06,Universidad Central del Ecuador,30-39
P07,Universidad Central del Ecuador,30-39
P08,Universidad Central del Ecuador,30-39
P09,Universidad de Las Américas,30-39
P10,Universidad de Las Américas,30-39
P11,Universidad de Las Américas,30-39
P12,Universidad de Las Américas,30-39
P13,Universidad de Las Américas,30-39
P14,Universidad de Las Américas,30-39
P15,Universidad de Las Américas,30-39
